9.200894832611083984e-01 2.709607183933258057e-01 9.813701510429382324e-01 5.922166258096694946e-02 1.061239314079284668e+01
9.660292267799377441e-01 1.139122471213340759e-01 9.855770468711853027e-01 4.692636802792549133e-02 2.758813619613647461e+00
9.708198904991149902e-01 9.790959209203720093e-02 9.854769110679626465e-01 4.498987644910812378e-02 2.768368482589721680e+00
9.738245010375976562e-01 8.535338193178176880e-02 9.851764440536499023e-01 4.430789873003959656e-02 2.758888006210327148e+00
9.758107066154479980e-01 7.772914320230484009e-02 9.861780405044555664e-01 4.478529468178749084e-02 2.759280443191528320e+00
9.784981012344360352e-01 7.112558931112289429e-02 9.854767918586730957e-01 5.111907422542572021e-02 2.757334470748901367e+00
9.781308174133300781e-01 7.048930972814559937e-02 9.872797727584838867e-01 4.190066456794738770e-02 2.758845806121826172e+00
9.787483215332031250e-01 6.755797564983367920e-02 9.889823794364929199e-01 3.427928686141967773e-02 2.758278608322143555e+00
9.796329736709594727e-01 6.506312638521194458e-02 9.878806471824645996e-01 4.118545353412628174e-02 2.759878396987915039e+00
9.798001050949096680e-01 6.475818902254104614e-02 9.893831014633178711e-01 3.629399091005325317e-02 2.770195007324218750e+00
9.820867776870727539e-01 5.793085694313049316e-02 9.885817170143127441e-01 4.235713556408882141e-02 2.757097244262695312e+00
9.813690185546875000e-01 6.112427264451980591e-02 9.875801801681518555e-01 4.472847655415534973e-02 2.760970115661621094e+00
9.821704030036926270e-01 5.886841565370559692e-02 9.877805113792419434e-01 4.700218141078948975e-02 2.769450187683105469e+00
9.822034239768981934e-01 5.730712041258811951e-02 9.888821840286254883e-01 3.844522684812545776e-02 2.758122920989990234e+00
9.812021851539611816e-01 6.206797063350677490e-02 9.892829060554504395e-01 3.766128048300743103e-02 2.759609222412109375e+00
9.818863868713378906e-01 5.945175141096115112e-02 9.897837042808532715e-01 3.868119046092033386e-02 2.764943122863769531e+00
